"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/06/2024","35,49","34,68","-2,20","34,15","35,50","1,86B"
"13/06/2024","35,90","35,46","-1,01","34,85","36,19","1,63B"
"12/06/2024","36,95","35,82","-2,42","35,61","37,05","1,88B"
"11/06/2024","36,86","36,71","0,43","36,55","37,04","1,13B"
"10/06/2024","36,25","36,55","1,52","36,18","37,10","1,19B"
"07/06/2024","37,26","36,01","-3,75","35,93","37,50","1,68B"
"06/06/2024","37,31","37,41","0,47","37,30","37,74","972,14M"
"05/06/2024","37,29","37,24","0,13","37,11","37,46","1,90B"
"04/06/2024","37,43","37,19","-1,11","36,75","37,46","1,25B"
"03/06/2024","37,85","37,61","-0,54","37,47","37,95","1,63B"
"31/05/2024","36,97","37,81","2,76","36,94","37,91","2,02B"
"29/05/2024","36,76","36,80","-0,13","36,50","36,96","1,07B"
"28/05/2024","36,50","36,85","2,13","36,47","37,32","1,71B"
"27/05/2024","35,79","36,08","1,09","35,76","36,14","485,14M"
"24/05/2024","36,13","35,69","-0,54","35,65","36,25","844,46M"
"23/05/2024","36,50","35,88","-1,00","35,65","36,76","1,73B"
"22/05/2024","35,58","36,24","1,36","35,49","36,52","1,31B"
"21/05/2024","35,86","35,75","-0,19","35,65","36,15","998,81M"
"20/05/2024","35,80","35,82","0,16","35,71","36,30","1,44B"
"17/05/2024","36,41","35,76","-1,66","35,59","36,48","2,40B"
"16/05/2024","37,33","36,37","-2,84","36,30","37,68","3,03B"
"15/05/2024","36,65","37,43","-6,04","36,55","37,83","6,86B"
"14/05/2024","39,73","39,84","-1,80","39,15","40,26","2,13B"
"13/05/2024","40,69","40,57","0,10","40,46","40,91","743,03M"
"10/05/2024","40,78","40,53","-0,22","40,45","41,03","1,13B"
"09/05/2024","40,02","40,62","0,97","39,91","40,78","1,09B"
"08/05/2024","39,33","40,23","1,53","39,29","40,28","1,83B"
"07/05/2024","39,14","39,62","1,22","38,99","39,62","931,03M"
"06/05/2024","38,86","39,15","0,68","38,72","39,34","894,74M"
"03/05/2024","39,66","38,88","-1,34","38,45","39,66","1,75B"
"02/05/2024","39,48","39,41","0,38","39,09","39,60","1,30B"
"30/04/2024","39,24","39,26","-0,31","38,89","39,44","1,43B"
"29/04/2024","38,76","39,38","1,79","38,61","39,38","1,08B"
"26/04/2024","38,58","38,69","0,78","38,37","39,04","1,23B"
"25/04/2024","37,65","38,39","2,40","37,36","38,63","2,50B"
"24/04/2024","37,78","37,49","-0,46","37,47","38,18","1,70B"
"23/04/2024","37,65","37,66","-0,19","37,25","37,86","1,33B"
"22/04/2024","37,06","37,74","2,39","36,85","37,82","1,93B"
"19/04/2024","36,42","36,85","1,71","36,23","37,35","2,97B"
"18/04/2024","36,37","36,24","0,18","36,05","36,91","1,64B"
"17/04/2024","35,91","36,17","0,73","35,77","36,33","1,41B"
"16/04/2024","35,47","35,91","0,46","35,42","36,11","1,33B"
"15/04/2024","35,41","35,75","0,95","35,13","35,87","1,02B"
"12/04/2024","36,12","35,41","-0,92","35,19","36,42","1,41B"
"11/04/2024","36,01","35,74","-0,73","35,65","36,15","1,18B"
"10/04/2024","35,22","36,00","2,22","35,15","36,13","1,99B"
"09/04/2024","35,37","35,22","0,26","34,61","35,59","1,29B"
"08/04/2024","34,58","35,13","1,39","34,31","35,52","1,26B"
"05/04/2024","34,46","34,65","0,58","33,80","35,07","2,25B"
"04/04/2024","34,98","34,45","-1,41","34,04","35,90","6,74B"
